0,1,4
1,7,4
1,2,8
2,7,6
2,8,8
2,6,17
2,5,11
2,3,11
3,5,8
4,5,11
4,14,14
5,6,10
5,14,11
6,8,19
6,13,15
6,21,19
6,20,15
6,14,16
7,8,6
8,9,6
8,10,19
8,11,18
8,13,16
9,10,19
10,11,15
11,12,6
11,22,17
11,13,10
12,24,16
12,23,21
13,22,11
14,20,20
14,15,7
15,16,2
15,17,6
16,20,18
16,31,20
16,29,10
16,17,4
17,19,2
17,18,0
19,29,4
19,28,9
20,21,15
20,26,8
20,31,13
21,22,6
21,24,19
21,25,21
21,26,13
22,23,0
23,24,13
25,27,8
26,27,11
27,34,10
27,31,13
28,29,7
28,32,19
29,30,21
29,32,20
30,31,0
30,34,11
30,33,10
30,32,18
32,33,11
33,34,11
